Country Code,Country Name,Continent Code,AG.LND.ARBL.ZS,AG.LND.PRCP.MM,BN.CAB.XOKA.GD.ZS,CM.MKT.LCAP.GD.ZS,EG.GDP.PUSE.KO.PP,EN.POP.DNST,FB.BNK.CAPA.ZS,FR.INR.RINR,GC.NLD.TOTL.GD.ZS,IC.FRM.BRIB.ZS,IC.IMP.TMDC
PRI,Puerto Rico,NO,6.877113867,2054,0,0,0,391.5632469,0,0,0,0,2
PRK,Dem. People's Rep. Korea,AS,19.51665144,1054,0,0,0,209.1506769,0,0,0,0,0
PRT,Portugal,EU,12.30590807,854,0.117932418,30.00557275,13.92547914,113.0725249,7.206073883,0,-4.832379943,0,1
PRY,Paraguay,SA,12.08155047,1130,-0.400690257,0,0,16.83550466,7.178809423,17.84468425,-0.62490398,31.5,36
PSE,West Bank and Gaza,AS,8.441860414,402,-16.30051748,26.3489308,0,709.317608,9.713170208,10.81463325,0,6.9,45
PYF,French Polynesia,OC,0.683060109,0,0,0,0,74.62404372,0,0,0,0,0
QAT,Qatar,AS,1.317829474,74,8.501816613,88.13936273,0,220.9913867,0,38.03034802,0,0,72
ROU,Romania,EU,38.15194715,637,-1.211872396,0,0,86.12430894,8.178320995,4.053604525,-1.42284221,19.7,1
RUS,Russia,EU,7.518031242,460,4.970479603,28.83832383,0,8.798804045,8.920835085,7.555673723,-2.269511086,27.3,42.5
RWA,Rwanda,AF,46.68422988,1212,-14.51273805,0,0,460.8460073,15.95399336,16.99902507,-2.377163533,6.9,48
SAU,Saudi Arabia,AS,1.623489899,59,-8.669784327,64.35571438,0,14.75453065,13.90255445,0,-15.83843806,0,131
SDN,Sudan,AF,0,250,-5.644678254,0,0,0,0,0,-1.09219403,17.6,132
SEN,Senegal,AF,16.62078637,686,-5.316169392,0,0,75.72045396,0,4.040455289,-3.682181342,11.1,72
SGP,Singapore,AS,0.789844838,2497,16.89238303,207.7750927,0,7806.772752,9.000746071,2.126477686,4.198358178,0,3
SLB,Solomon Islands,OC,0.714540907,3028,-3.124142449,0,0,21.54762415,15.50163477,7.177045854,0.915731909,43.8,37
SLE,Sierra Leone,AF,21.94513716,2526,-23.7768122,0,0,99.36151288,0,-0.113375367,0,46.1,137
SLV,El Salvador,NO,34.65250965,1784,-3.215929355,0,0,305.2666023,13.89379581,0,-1.305428327,4.3,13
SMR,San Marino,EU,16.66666667,0,0,0,0,554.5333333,6.928183534,1.515518839,0,0,3
SOM,Somalia,AF,1.753435139,282,0,0,0,21.99317914,0,0,0,0,76
SRB,Serbia,EU,29.62497142,686,-3.456402544,0,0,81.12717814,0,3.138597346,0,11.9,3
SSD,South Sudan,AF,0,900,-4.042118381,0,0,0,0,-10.82894404,0,48,360
STP,São Tomé and Principe,AF,9.062499801,3200,-21.58375817,0,0,207.7416667,0,17.30350716,0,0,21
SUR,Suriname,SA,0.416666667,2331,-16.42729299,0,0,3.58425,0,15.00632033,0,12.7,48
SVK,Slovak Republic,EU,28.07703392,824,-1.719166125,0,9.885100616,112.8031442,11.12241104,0,-2.71447905,5.7,1
SVN,Slovenia,EU,9.130400384,1162,4.530620758,14.00163287,9.967475868,102.4461087,0,0,-3.129761516,2.3,1
SWE,Sweden,EU,6.346517395,624,4.148238324,0,9.492261506,24.05829958,0,0,0.506766205,1.9,1
SWZ,Eswatini,AF,10.1744186,788,18.26696243,0,0,64.18860465,12.91105443,1.382334716,0,6.7,4
SXM,Sint Maarten (Dutch part),NO,0,0,0,0,0,1141.911765,0,0,0,0,0
SYC,Seychelles,AF,0.326086969,2330,-18.59762125,0,0,203.0847826,11.10726239,10.05830091,1.068890307,0,33
SYR,Syrian Arab Republic,AS,25.3880085,252,0,0,0,98.00908348,0,0,0,69.6,149
TCA,Turks and Caicos Islands,NO,1.052631579,0,0,0,0,37.87473684,0,0,0,0,0
TCD,Chad,AF,3.891359593,322,0,0,0,11.20630162,11.54556132,0,0,35,172
TGO,Togo,AF,48.72219158,1168,-11.02701157,0,0,134.6416253,0,1.61823241,-6.277618483,19.1,203
THA,Thailand,AS,32.90336472,1622,8.002252213,86.91789499,0,134.4996203,10.0338856,3.980959927,-0.079160842,9.9,4
TJK,Tajikistan,AS,5.259744938,691,-6.07382178,0,0,60.91237121,0,23.98746258,0,36.3,126
TKM,Turkmenistan,AS,4.128274424,161,0,0,0,11.84279999,0,0,0,0,0
TLS,Timor-Leste,AS,10.42367182,1500,7.26946907,0,0,80.45070612,0,78.91743753,4.161142951,44.2,44
TON,Tonga,OC,25,0,-14.05721824,0,0,139.9736111,24.11875425,6.735239761,-2.69535705,24.9,72
TTO,Trinidad and Tobago,NO,4.873294347,2200,7.38658475,0,0,267.1204678,14.08252413,21.03261206,-1.406965751,10.5,44
TUN,Tunisia,AF,18.66632338,207,-8.921183911,20.43741189,0,71.96156668,0,0,0,10.3,27
TUR,Turkey,EU,26.82457804,593,-3.738673752,21.9658731,15.51784715,102.0352754,11.00131461,0,0.466008412,5.4,3
TUV,Tuvalu,OC,0,161,0,0,0,369.9666667,0,0,0,0,0
TZA,Tanzania,AF,15.2404606,1071,-8.695366072,0,0,58.11992888,11.10887124,7.912490759,-1.063161541,20.8,264
UGA,Uganda,AF,34.41053262,1180,-6.166432729,0,0,190.6316228,13.03909948,16.7582418,-2.528661701,22,138
UKR,Ukraine,EU,56.57787982,565,1.775220221,0,0,77.94719225,8.01647621,-12.28291608,-1.493363989,50.4,168
URY,Uruguay,SA,13.77328361,1300,-0.917352403,0,0,19.49496629,8.532635222,6.260350045,-2.767547548,2.4,72
USA,United States,NO,16.64540384,715,-2.238115921,137.5878487,8.348640846,35.06373087,11.71105298,2.167480568,-3.204294772,0,7.5
UZB,Uzbekistan,AS,10.34320639,206,0,0,0,73.57522332,11.25142265,0,2.764175788,7,174
VCT,St. Vincent and the Grenadines,NO,12.82051282,1583,-14.53686586,0,0,279.8666667,7.448810736,6.70128336,-1.28546004,4.9,24
VEN,Venezuela,SA,3.061050961,2044,0,0,0,34.10444873,0,0,0,10.3,1090
VGB,British Virgin Islands,NO,6.666666667,0,0,0,0,194.3466667,0,0,0,0,0
VIR,Virgin Islands,NO,2.857142857,0,0,0,0,307.7428571,0,0,0,0,0
VNM,Vietnam,AS,22.5690973,1821,0.46884434,30.39416942,0,298.8908182,8.262447095,7.322258132,0,38.3,106
VUT,Vanuatu,OC,1.640689089,206,-11.11933589,0,0,22.24200164,11.16990368,1.112826446,7.717950886,11.9,48
WSM,Samoa,OC,2.826855124,1583,-1.585359965,0,0,68.37915194,0,6.586174984,-3.881511646,30.5,25
XKX,Kosovo,EU,0,0,-8.492157137,0,0,165.5001378,12.23013632,8.095409811,0,13.7,6
YEM,Yemen,AS,2.363770669,167,-7.098623552,0,0,50.18824744,0,0,0,68.9,0
ZAF,South Africa,ZZ,10.30426432,495,-4.587766965,231.7668689,0,45.65726121,7.038238304,4.086033745,-4.797456092,0,36
ZMB,Zambia,AF,5.111717941,1020,-3.628805208,0,0,21.36074066,11.16038103,6.178266949,-7.906570093,15.8,134
ZWE,Zimbabwe,AF,10.33992504,657,-8.407759962,0,0,35.71055706,0,7.886025058,-0.495159918,17.5,81
